symbol,stock_pos,change_pct
DJIA,"45,295.81",-0.55%
S&P 500,"6,415.54",-0.69%
NASDAQ,"21,279.63",-0.82%
RUSS 2K*,"2,352.208",-0.60%
VIX,17.17,+6.51%
